OrderID,OrderDate,ProductID,ProductName,Category,Quantity,UnitPrice,CostPerUnit,Discount,CustomerType,PaymentMode
O250961,2024-01-25 16:34:39.742893,P001,Veg Burger,Meals,2,120,70,5,New,Wallet
O370847,2025-11-11 16:34:39.742893,P002,Paneer Wrap,Meals,1,150,90,0,Returning,Card
O528690,2025-03-13 16:34:39.742893,P005,Fresh Juice,Beverages,4,90,45,25,Returning,Cash
O839646,2025-11-03 16:34:39.742893,P003,French Fries,Snacks,2,80,40,5,Returning,UPI
O309568,2025-05-11 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,25,Returning,Wallet
O951035,2025-03-29 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,5,New,Cash
O476814,2024-02-13 16:34:39.742893,P004,Cold Coffee,Beverages,1,110,50,15,Returning,Cash
O130908,2024-09-07 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,0,New,UPI
O972930,2024-09-02 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,10,Returning,Cash
O319763,2025-07-16 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,0,New,Cash
O532361,2024-11-27 16:34:39.742893,P005,Fresh Juice,Beverages,4,90,45,15,New,UPI
O955641,2024-03-09 16:34:39.742893,P004,Cold Coffee,Beverages,5,110,50,5,New,Wallet
O950330,2025-07-27 16:34:39.742893,P003,French Fries,Snacks,3,80,40,5,Returning,Card
O386297,2024-02-16 16:34:39.742893,P003,French Fries,Snacks,1,80,40,0,New,Cash
O240946,2025-04-26 16:34:39.742893,P004,Cold Coffee,Beverages,3,110,50,15,New,UPI
O306358,2024-07-29 16:34:39.742893,P002,Paneer Wrap,Meals,5,150,90,10,New,Wallet
O130750,2025-09-10 16:34:39.742893,P001,Veg Burger,Meals,2,120,70,25,Returning,Wallet
O441960,2025-02-11 16:34:39.742893,P006,Nachos,Snacks,1,140,85,0,New,Cash
O914658,2024-09-18 16:34:39.742893,P004,Cold Coffee,Beverages,2,110,50,20,New,Wallet
O262493,2025-10-06 16:34:39.742893,P001,Veg Burger,Meals,5,120,70,25,Returning,UPI
O210849,2024-01-06 16:34:39.742893,P003,French Fries,Snacks,2,80,40,5,New,Card
O820584,2025-04-11 16:34:39.742893,P003,French Fries,Snacks,2,80,40,5,Returning,UPI
O573068,2025-03-14 16:34:39.742893,P002,Paneer Wrap,Meals,3,150,90,0,New,Wallet
O558871,2024-06-18 16:34:39.742893,P002,Paneer Wrap,Meals,5,150,90,10,New,Card
O360119,2025-10-20 16:34:39.742893,P001,Veg Burger,Meals,1,120,70,15,Returning,Cash
O175779,2025-03-18 16:34:39.742893,P003,French Fries,Snacks,1,80,40,10,Returning,Card
O917073,2025-04-10 16:34:39.742893,P006,Nachos,Snacks,1,140,85,25,Returning,Card
O569385,2024-07-03 16:34:39.742893,P001,Veg Burger,Meals,4,120,70,15,New,UPI
O469575,2025-09-15 16:34:39.742893,P002,Paneer Wrap,Meals,5,150,90,15,Returning,Card
O448536,2024-12-01 16:34:39.742893,P005,Fresh Juice,Beverages,2,90,45,20,Returning,Cash
O611968,2023-12-28 16:34:39.742893,P006,Nachos,Snacks,2,140,85,5,Returning,Cash
